epoch,accuracy,f1_score
1,0.38114754098360654,0.2819736488975111
2,0.3907103825136612,0.2920950642611978
3,0.39617486338797814,0.2669869601563292
4,0.3797814207650273,0.3002175631622936
5,0.3989071038251366,0.29626237421158186
6,0.38114754098360654,0.3054922195931948
7,0.40027322404371585,0.2929447955289197
8,0.39207650273224043,0.3136457966719773
9,0.4180327868852459,0.3266607234425526
10,0.41530054644808745,0.3148017621130103
11,0.4139344262295082,0.34801286508897894
12,0.4344262295081967,0.37129290225691314
13,0.43989071038251365,0.3781943290272217
14,0.43579234972677594,0.37306005841901907
15,0.46311475409836067,0.4140980616549449
16,0.44808743169398907,0.4044728420116558
17,0.4781420765027322,0.4358352791030002
18,0.453551912568306,0.41495764907768357
19,0.4808743169398907,0.4389583887438525
20,0.4672131147540984,0.4344846408130153
21,0.5027322404371585,0.4655066160441157
22,0.4890710382513661,0.45551525245387414
23,0.4849726775956284,0.45779609850465725
24,0.5286885245901639,0.5040970632719213
25,0.4781420765027322,0.462936322576531
26,0.5081967213114754,0.48226984349799634
27,0.5423497267759563,0.5231297492659234
28,0.5450819672131147,0.5297208540371342
29,0.5505464480874317,0.5355982134858781
30,0.5560109289617486,0.5392429270990873
31,0.5601092896174863,0.5458650819761701
32,0.5724043715846995,0.5549834417533412
33,0.5450819672131147,0.5301524286274952
34,0.5628415300546448,0.5505071504351539
35,0.5601092896174863,0.5437408553128132
36,0.5833333333333334,0.5706039506496844
37,0.5846994535519126,0.5702738674740531
38,0.5806010928961749,0.57234099991733
39,0.5724043715846995,0.5606478296560053
40,0.587431693989071,0.5745389787184594
41,0.592896174863388,0.5877897854555689
42,0.5956284153005464,0.5841587108150008
43,0.5846994535519126,0.5790559634316697
44,0.6120218579234973,0.6029452031955888
45,0.6215846994535519,0.612540691540157
46,0.605191256830601,0.5974681361908328
47,0.610655737704918,0.6027602276398212
48,0.6133879781420765,0.6070594840292304
49,0.6256830601092896,0.6176821995127305
50,0.605191256830601,0.601916657239261
51,0.6120218579234973,0.6055036719804056
52,0.6256830601092896,0.6196158533253048
53,0.6215846994535519,0.6085994331984541
54,0.6325136612021858,0.6234254062478226
55,0.6543715846994536,0.6482880549469971
56,0.6598360655737705,0.6540097589920004
57,0.6612021857923497,0.657259979829228
58,0.6489071038251366,0.6479431318239789
59,0.6612021857923497,0.6489037725760034
60,0.662568306010929,0.6548365873189694
61,0.6721311475409836,0.6625213706230371
62,0.6612021857923497,0.6572108918847706
63,0.6830601092896175,0.6778622144815802
64,0.6666666666666666,0.6587095084172279
65,0.6789617486338798,0.6773210767412159
66,0.6693989071038251,0.6627931659145181
67,0.6707650273224044,0.6631472795199439
68,0.6980874316939891,0.6959634407554866
69,0.6844262295081968,0.6796608702810835
70,0.6885245901639344,0.6815972786875855
71,0.6926229508196722,0.6875372935593658
72,0.7076502732240437,0.7026402264298373
73,0.7117486338797814,0.7023368503607557
74,0.6898907103825137,0.6833141200485199
75,0.7049180327868853,0.6973846657089198
76,0.6967213114754098,0.6878176534167194
77,0.7008196721311475,0.6962510932764
78,0.7090163934426229,0.7025230412303506
79,0.6939890710382514,0.6881679643052818
80,0.6734972677595629,0.6670834047032931
81,0.7049180327868853,0.6977199901607767
82,0.7103825136612022,0.7048597744706973
83,0.7131147540983607,0.7044045223134164
84,0.7062841530054644,0.6995710435360212
85,0.6926229508196722,0.6861170080679427
86,0.6816939890710383,0.6720476202735722
87,0.7131147540983607,0.7070094247886112
88,0.680327868852459,0.6766235660263381
89,0.703551912568306,0.700114197990178
90,0.7199453551912568,0.715169769309451
91,0.703551912568306,0.6964324475642104
92,0.703551912568306,0.6963232949323729
93,0.7076502732240437,0.6991927924881277
94,0.7199453551912568,0.7139731745050536
95,0.7117486338797814,0.7046164580383405
96,0.7158469945355191,0.708926910138645
97,0.7049180327868853,0.6976450200251136
98,0.7076502732240437,0.702533079410139
99,0.7008196721311475,0.6942207612152468
100,0.7076502732240437,0.7000767103132981
